역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
대화,Daehwa,Daehwa ,テファ,大化,大化
주엽,Juyeop,Juyeop,チュヨプ,注叶,注葉
정발산,Jeongbalsan,Jeongbalsan,チョンバルサン,鼎鉢山,鼎鉢山
마두,Madu,Madu,マドゥ,马头,馬頭
백석,Baekseok,Baekseok,ペッソク,白石,白石
대곡,Daegok,Daegok,テゴク,大谷,大谷
화정,Hwajeong,Hwajeong,ファジョン,花井,花井
원당,Wondang,Wondang,ウォンダン,元堂,元堂
삼송,Samsong,Samsong,サムソン,三松,三松
지축,Jichuk,Jichuk,チチュク,紙杻,紙杻
구파발,Gupabal,Gupabal,クパバル,旧把拔,舊把撥
연신내,Yeonsinnae,Yeonsinnae,ヨンシンネ,延新川,-
불광,Bulgwang,Bulgwang,プルグァン,佛光,佛光
녹번,Nokbeon,Nokbeon,ノッポン,碌磻,碌磻
홍제,Hongje,Hongje,ホンジェ,弘济,弘濟
무악재,Muakjae,Muakjae,ムアクチェ,毋岳岭,毋岳재
독립문,Dongnimmun,Dongnimmun,トンニンムン,独立门,獨立門
경복궁,Gyeongbokgung ,Gyeongbokgung ,キョンボックン,景福宫,景福宮
안국,Anguk,anguk,アングク,安国,安國
종로3가,Jongno 3,Jongno 3,チョンノサムガ,钟路三街站,鍾路3街
을지로3가,Euljiro 3,Eulji-ro 3,ウルチロサムガ,乙支路三街,乙支路3街
충무로,Chungmuro,Chungmu-ro,チュンムロ,忠武路,忠武路
동대입구,Dongguk Univ.,Dongguk Univ.,トンデイック,东国大学,東大入口
약수,Yaksu,Yaksu,ヤッス,药水站,藥水
금호,Geumho,Geumho,クムホ,金湖,金湖
옥수,Oksu,Oksu,オッス,玉水,玉水
압구정,Apgujeong,Apgujeong,アックジョン,狎鸥亭,狎鷗亭
신사,Sinsa,Sinsa,シンサ,新沙,新沙
잠원,Jamwon,Jamwon,チャムォン,蚕院,蠶院
고속터미널,Express Bus Terminal,Express Bus Terminal,コソクターミナル,高速巴士客運站运站,高速터미널
교대,Seoul Nat'l Univ. of Education ,Nat'l Univ. of Education ,キョデ,首尔教育大学,敎大
남부터미널,Nambu Bus Terminal ,Nambu Bus Terminal ,ナンブターミナル,南部客运站,南部터미널
양재,Yangjae ,Yangjae ,ヤンジェ,良才,良才
매봉,Maebong,Maebong,メボン,梅峰,-
도곡,Dogok,Dogok,トゴク,道谷,道谷
대치,Daechi,Daechi,テチ,大峙,大峙
학여울,Hangnyeoul,Hangnyeoul,ハギョウル,鹤滩,鶴여울
대청,Daecheong,Daecheong,テチョン,大厅,-
일원,Irwon,Irwon,イルォン,逸院,逸院
수서,Suseo,Suseo,スソ,水西,水西
가락시장,Garak Market,Garak Market,カラク·シジャン,可乐市场,可樂市場
경찰병원,National Police Hospital,Gyeongchal Hospital,キョンチャル·ピョンウォン,警察医院,警察病院
오금,Ogeum,Ogeum,オグム,梧琴,梧琴
