역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
판교,Pangyo,Pangyo,パンギョ,板橋,
이매,Imae,Imae,イメ,二梅,
삼동,Samdong,Samdong,サムドン,三洞,
경기광주,Gyeonggi Gwangju,Gyeonggi Gwangju,キョンギクァンジュ,京畿廣州,
초월,Chowol,Chowol,チョウォル,草月,
곤지암,Gonjiam,Gonjiam,コンジアム,昆池岩,
신둔도예촌,Sindundoyechon,Sindundoyechon,シンドゥンドイェチョン,新屯陶藝村,
이천,Icheon,Icheon,イチョン,利川,
부발,Bubal,Bubal,プバル,夫鉢,
세종대왕릉,Sejongdaewangneung,Sejongdaewangneung,セジョンデワンヌン,世宗大王陵,
여주,Yeoju,Yeoju,ヨジュ,驪州,
