역명(한글),역명(영문),역명(로마자),역명(일본어),역명(중국어 간체),역명(중국어 번체)
암사,Amsa,Amsa,アムサ,岩寺,岩寺
천호,Cheonho ,Cheonho,チョンホ,千戶,千戶
강동구청,Gangdong-gu Office,Gangdong-gu Office ,カンドングチョン,江东区厅,江東區廳
몽촌토성,Mongchontoseong ,Mongchontoseong,モンチョントソン,梦村土城,夢村土城
잠실,Jamsil ,Jamsil,チャムシル,蚕室,蠶室
석촌,Seokchon,Seokchon,ソクチョン,石村,石村
송파,Songpa,Songpa,ソンパ,松坡,松坡
가락시장,Garak Market,Garak Market,カラク·シジャン,可乐市场,可樂市場
문정,Munjeong,Munjeong ,ムンジョン,文井,文井
장지,Jangji,Jangji,チャンジ,长旨,長旨
복정,Bokjeong,Bokjeong ,ポクチョン,福井,福井
산성,Sanseong,Sanseong ,サンソン,山城,山城
남한산성입구,Namhansanseong,Namhansanseongip-gu,ナムハンサンソンイック,南汉山城,南漢山城入口
단대오거리,Dandaeogeori,Dandaeogeo-ri ,タンデオゴリ,丹垈吳岔路口,丹垈오거리
신흥,Sinheung,Sinheung ,シンフン,新兴,新興
수진,Sujin,Sujin,スジン,寿进,壽進
모란,Moran,Moran,モラン,牡丹,牡丹
